architecture,learning_rate,weight_decay,dropout,best_threshold,avg_val_f1,avg_val_auc,avg_val_acc,avg_val_prec,avg_val_rec,avg_val_kappa
64,0.0001,0.0001,0.2,0.3,0.45525460108570737,0.7183618520513141,0.7037182089945394,0.37075682365961987,0.6024106591662659,0.2693167501534618
64,0.0001,0.0001,0.3,0.3,0.45501136634574096,0.7203327375969512,0.6969088540357203,0.3637318625871177,0.6150087574939185,0.2651298975463899
64,0.0001,0.0001,0.4,0.3,0.44685042894961297,0.7125828079580424,0.6831360436718873,0.35259746474919734,0.6229504711658016,0.25035155805336917
64,0.0001,0.0001,0.5,0.3,0.4346787971083418,0.7004144656155947,0.6773667997239162,0.3417742004528786,0.6044354781660356,0.23349745076832407
64,0.0001,0.0001,0.6,0.3,0.4484364599295927,0.7064405136223909,0.6948434367934222,0.3595797354885272,0.6037383060349415,0.2571671225713487
64,0.0001,0.0001,0.7,0.3,0.4356199777849975,0.694437443430947,0.6713092515881776,0.3377693674628575,0.6211324089863498,0.23191800271676702
64,0.0001,1e-05,0.2,0.3,0.44976898049603325,0.7058159896719044,0.64399644189303,0.33597631445616266,0.6977721633650229,0.23669883414227186
64,0.0001,1e-05,0.3,0.3,0.45228044763446745,0.7155765603049679,0.7018782432459946,0.36982835673935954,0.5997598728281481,0.2659081271378113
64,0.0001,1e-05,0.4,0.3,0.4547272349742261,0.7171852854718649,0.6905105638982566,0.36011805073593167,0.6328080169242727,0.2624030535360882
64,0.0001,1e-05,0.5,0.3,0.4388368443667833,0.7029580125635034,0.682045557816483,0.3492349745124471,0.6019273062421925,0.2413094619911477
64,0.0001,1e-05,0.6,0.3,0.4391392585860167,0.6939431795635679,0.67485936477655,0.34056760605311587,0.6238116515561559,0.23685572893634407
64,0.0001,1e-05,0.7,0.3,0.4359053104151288,0.6903066073721011,0.6701626282280037,0.33744330246137927,0.6248787990411202,0.2317896053991749
64_32,0.001,0.01,0.2,0.3,0.4821590316738062,0.7500509654537725,0.7317202671544674,0.40821261083560306,0.6065633271926469,0.3134148544180125
