architecture,learning_rate,weight_decay,dropout,best_threshold,avg_val_f1,avg_val_auc,avg_val_acc,avg_val_prec,avg_val_rec,avg_val_kappa
64_32,0.0001,1e-05,0.2,0.3,0.45168476166434085,0.7088060042747666,0.6947954956696872,0.36126679093627195,0.6085378506023652,0.2604288313962968
64_32,0.0001,1e-05,0.3,0.3,0.44770322463100926,0.697691826651937,0.6590406225573329,0.3440517813448048,0.6628303986037177,0.24161155276545881
64_32,0.0001,1e-05,0.4,0.3,0.45637404457582376,0.7041884167379772,0.6661509411397564,0.35012720893609484,0.6722732807972374,0.2539067714308554
64_32,0.0001,1e-05,0.5,0.3,0.45374644799192493,0.7042510985693814,0.6615895487795628,0.3413684985321322,0.6861152141061485,0.2479186207887376
64_32,0.0001,1e-05,0.6,0.4,0.44883386712459783,0.7058740644888738,0.6574176271719349,0.33516592489213093,0.6834113437656139,0.24010578766024288
64_32,0.0001,1e-05,0.7,0.3,0.43729357501317623,0.6886592020255712,0.5885097575465555,0.30649327269435417,0.7729620728348549,0.20234435399493506
128,0.001,0.01,0.2,0.3,0.49728395678444653,0.7445078848599836,0.7007768719572282,0.38774827615608815,0.7113737102377379,0.3142778004555313
128,0.001,0.01,0.3,0.4,0.48944369544648403,0.7483830900271784,0.7055790909183347,0.3842226359730869,0.6907303448720923,0.3071902978968529
128,0.001,0.01,0.4,0.3,0.49577883911157583,0.7538169942629586,0.716028670744824,0.3997528861424089,0.6780057380387421,0.320399988371452
128,0.001,0.01,0.5,0.3,0.47658652046995414,0.7299300743352147,0.6801982458944386,0.3688559475431514,0.7028443662202049,0.2833360188276286
128,0.001,0.01,0.6,0.3,0.4889557771875121,0.7369231250434601,0.6846305488738615,0.3742472062341685,0.7313655306189382,0.29826039446213287
128,0.001,0.01,0.7,0.3,0.47401362098668176,0.729999962360848,0.6982680389323642,0.37036154122268783,0.6647114375125922,0.28596866252295816
128,0.001,0.001,0.2,0.3,0.47896272247496635,0.7429237237182523,0.7380904060003134,0.40954426698251034,0.5878063438077652,0.31281462640661006
128,0.001,0.001,0.3,0.3,0.48202101751719956,0.740169172559672,0.7319405309040729,0.41337898014870084,0.5983570526660739,0.3141520116511024
128,0.001,0.001,0.4,0.3,0.48607279569595646,0.7428424569280934,0.7313264389833612,0.41081171928967264,0.613106780863005,0.3175986679264654
128,0.001,0.001,0.5,0.3,0.4720049378911133,0.7198175162478451,0.6988422171645586,0.37983257465006287,0.6464144810983936,0.28691474184387367
